plz,einwohner,qkm,lat,lon
010,80279,74.009892,51.07517,13.81067
011,182365,121.248901,51.09004,13.63052
012,157358,51.240729,51.01408,13.78832
013,88723,69.853192,51.03036,13.89959
014,90009,269.647721,51.14876,13.90707
015,73129,578.871885,51.29265,13.63085
016,125455,750.768960,51.23129,13.35263
017,158677,860.539011,50.89169,13.65095
018,120367,967.751799,51.01480,14.10948
019,151078,1354.013158,51.39396,13.85163
026,100196,702.505916,51.19011,14.46764
027,129960,676.582770,51.00257,14.72686
028,75459,377.467372,51.13702,14.86259
029,139746,1720.790036,51.39457,14.48312
030,124116,532.764201,51.76410,14.29757
031,101153,1351.289139,51.78108,14.57725
032,79684,1229.616387,51.70370,13.81395
041,184397,97.670664,51.36866,12.32155
042,190005,111.027903,51.28881,12.43679
043,128833,89.359705,51.37574,12.43527
044,91793,308.372036,51.24115,12.45902
045,108993,723.685796,51.16243,12.38808
046,185979,1298.412760,51.06243,12.48856
047,106774,888.756766,51.24147,13.06106
048,143540,1610.046414,51.49015,12.90313
049,60316,1079.024848,51.62670,13.11733
061,299846,744.879456,51.53298,11.96057
062,146241,966.572899,51.41819,11.60967
063,116561,921.239266,51.76258,12.04930
064,155728,1269.693378,51.73821,11.48233
065,115572,1292.644794,51.43391,11.23129
066,138254,1072.017145,51.18161,11.82113
067,152255,1097.539572,51.70777,12.36503
068,168487,999.109065,51.88936,12.51378
069,41608,979.563916,51.77516,12.79271
073,92675,919.374152,50.56828,11.45517
074,49898,434.815804,50.71416,11.28328
075,141288,549.388582,50.84888,12.07193
076,56847,509.951991,50.90931,11.79081
077,133973,419.822046,50.91774,11.60326
078,17354,203.741367,50.70882,11.77472
079,97347,1000.196211,50.59358,11.92951
080,93246,101.519810,50.72719,12.49025
081,62131,296.936104,50.66930,12.60528
082,133307,614.504807,50.41577,12.42665
083,127654,609.835362,50.50487,12.68249
084,96265,349.788432,50.70293,12.33737
085,81480,375.021286,50.48244,12.11725
086,29336,330.658825,50.31835,12.24142
091,225536,177.019892,50.81804,12.92575
092,86563,272.306675,50.83270,12.76787
093,144292,611.515417,50.76130,12.72297
094,126039,729.814592,50.59548,12.96230
095,114238,611.771863,50.76483,13.18725
096,106453,942.559671,50.87165,13.37395
101,79724,10.817683,52.52212,13.40100
102,114821,10.358460,52.50761,13.45250
103,153334,26.221051,52.50417,13.50328
104,139757,10.425752,52.54190,13.43100
